rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
858,567,81,122,122,-0.039047181606292725,-0.36260986328125,0.5568008422851562,-0.02903360314667225,-0.3529052734375,0.5709915161132812,"{""0"": 122}"
859,694,78,122,122,0.05466465279459953,-0.09984589368104935,0.163421630859375,0.07123569399118423,-0.0870819166302681,0.19281005859375,"{""0"": 122}"
860,146,83,120,120,-0.2657470703125,-0.04699709266424179,0.7387542724609375,-0.2479247897863388,-0.03168489784002304,0.762298583984375,"{""0"": 120}"
861,863,70,118,118,0.1737212836742401,0.3362121880054474,0.4403800964355469,0.1804351508617401,0.3461914360523224,0.4442939758300781,"{""0"": 118}"
862,40,79,116,116,-0.32122802734375,0.15736384689807892,0.3836364448070526,-0.3177490234375,0.16526789963245392,0.39481350779533386,"{""0"": 116}"
863,216,73,115,115,-0.2368621528148651,-0.09013369679450989,0.45941925048828125,-0.2320251166820526,-0.07781985402107239,0.48169994354248047,"{""0"": 115}"
864,491,71,115,115,-0.08855438977479935,0.2208404242992401,0.275238037109375,-0.07979584485292435,0.2303771674633026,0.2834320068359375,"{""0"": 115}"
865,877,72,115,115,0.17970280349254608,-0.2325591742992401,0.4630947411060333,0.18687443435192108,-0.2274474799633026,0.49375131726264954,"{""0"": 115}"
866,917,70,115,115,0.2027435153722763,0.2286834865808487,0.3062744140625,0.2088012546300888,0.2327118068933487,0.3155059814453125,"{""0"": 115}"
867,928,74,115,115,0.2081909477710724,-0.1282043159008026,0.42478179931640625,0.2122650444507599,-0.12234494090080261,0.4378166198730469,"{""0"": 115}"
868,59,80,114,114,-0.31243896484375,0.13362117111682892,0.4060210883617401,-0.302490234375,0.14526362717151642,0.4281463325023651,"{""0"": 114}"
869,261,73,114,114,-0.2190399020910263,0.09147640317678452,0.2657470703125,-0.2132263034582138,0.10783382505178452,0.2855682373046875,"{""0"": 114}"
870,1059,75,114,114,0.283538818359375,0.11142733693122864,0.367767333984375,0.293304443359375,0.11964419484138489,0.39472198486328125,"{""0"": 114}"
871,539,76,113,113,-0.05668634548783302,-0.346649169921875,0.5813980102539062,-0.05314630642533302,-0.34136962890625,0.6008071899414062,"{""0"": 113}"
872,947,80,113,113,0.2144623100757599,-0.1324004828929901,0.405242919921875,0.2211456596851349,-0.11949917674064636,0.44136810302734375,"{""0"": 113}"
